# b'S_150_45_M'
# q I errors
5.619091019940264685e-05 0.000000000000000000e+00 0.000000000000000000e+00
1.685631453091173510e-04 0.000000000000000000e+00 0.000000000000000000e+00
2.809353804188320755e-04 0.000000000000000000e+00 0.000000000000000000e+00
3.933076155285467729e-04 0.000000000000000000e+00 0.000000000000000000e+00
5.056798506382615245e-04 0.000000000000000000e+00 0.000000000000000000e+00
6.180520857479762219e-04 0.000000000000000000e+00 0.000000000000000000e+00
7.304243208576910278e-04 0.000000000000000000e+00 0.000000000000000000e+00
8.427965559674056167e-04 0.000000000000000000e+00 0.000000000000000000e+00
9.551687910771204226e-04 0.000000000000000000e+00 0.000000000000000000e+00
1.067541026186835228e-03 0.000000000000000000e+00 0.000000000000000000e+00
1.179913261296549817e-03 2.115652084350585938e+00 4.488703012466430664e-01
1.292285496406264406e-03 2.696699142456054688e+00 8.868534117937088013e-02
1.404657731515979212e-03 2.654324531555175781e+00 4.028626531362533569e-02
1.517029966625694018e-03 2.660611152648925781e+00 2.593491971492767334e-02
1.629402201735408607e-03 2.574553012847900391e+00 2.050975896418094635e-02
1.741774436845123196e-03 2.433178901672363281e+00 1.777363941073417664e-02
1.854146671954838219e-03 2.354279279708862305e+00 1.591059006750583649e-02
1.966518907064552808e-03 2.301796674728393555e+00 1.388760562986135483e-02
2.078891142174267397e-03 2.309028387069702148e+00 1.264615636318922043e-02
2.191263377283981986e-03 2.311564445495605469e+00 1.135449577122926712e-02
2.303635612393696575e-03 2.332072257995605469e+00 1.057112775743007660e-02
2.416007847503411597e-03 2.301358461380004883e+00 9.754437953233718872e-03
2.528380082613125752e-03 2.251018047332763672e+00 9.001070633530616760e-03
2.640752317722840775e-03 2.213353872299194336e+00 8.547639474272727966e-03
2.753124552832555798e-03 2.211556911468505859e+00 7.981324568390846252e-03
2.865496787942269953e-03 2.201009273529052734e+00 7.558383978903293610e-03
2.977869023051984976e-03 2.198893547058105469e+00 7.153371814638376236e-03
3.090241258161699998e-03 2.190822839736938477e+00 6.711594294756650925e-03
3.202613493271414154e-03 2.182774066925048828e+00 6.377481855452060699e-03
3.314985728381129176e-03 2.191516399383544922e+00 6.126942113041877747e-03
3.427357963490843765e-03 2.185506343841552734e+00 5.838203709572553635e-03
3.539730198600558354e-03 2.186055898666381836e+00 5.625688005238771439e-03
3.652102433710273377e-03 2.181783676147460938e+00 5.452359560877084732e-03
3.764474668819987966e-03 2.167724132537841797e+00 5.372491199523210526e-03
3.876846903929702555e-03 2.141298532485961914e+00 5.290992558002471924e-03
3.989219139039417578e-03 2.133493900299072266e+00 5.207250360399484634e-03
4.101591374149131733e-03 2.136960506439208984e+00 5.100064910948276520e-03
4.213963609258846756e-03 2.123435020446777344e+00 4.991958849132061005e-03
4.326335844368561778e-03 2.109765052795410156e+00 4.925043322145938873e-03
4.438708079478275934e-03 2.106041431427001953e+00 4.817798268049955368e-03
4.551080314587990956e-03 2.097622156143188477e+00 4.730700049549341202e-03
4.663452549697705979e-03 2.094228506088256836e+00 4.643532447516918182e-03
4.775824784807420134e-03 2.075694084167480469e+00 4.556895233690738678e-03
4.888197019917135157e-03 2.078201532363891602e+00 4.477283451706171036e-03
5.000569255026850179e-03 2.075618505477905273e+00 4.425403196364641190e-03
5.112941490136564335e-03 2.065485954284667969e+00 4.332370124757289886e-03
5.225313725246278490e-03 2.064582824707031250e+00 4.276481922715902328e-03
5.337685960355994380e-03 2.075248479843139648e+00 4.251246340572834015e-03
5.450058195465708535e-03 2.066784381866455078e+00 4.321807995438575745e-03
5.562430430575422691e-03 2.045978784561157227e+00 4.354660399258136749e-03
5.674802665685138581e-03 2.038683176040649414e+00 4.375767428427934647e-03
5.787174900794852736e-03 2.034506082534790039e+00 4.381939768791198730e-03
5.899547135904566891e-03 2.022154808044433594e+00 4.378844052553176880e-03
6.011919371014282781e-03 2.014710903167724609e+00 4.381760954856872559e-03
6.124291606123996937e-03 2.005608081817626953e+00 4.370880313217639923e-03
6.236663841233711092e-03 1.998403906822204590e+00 4.362693522125482559e-03
6.349036076343426982e-03 1.993211746215820312e+00 4.357983823865652084e-03
6.461408311453141137e-03 1.987385749816894531e+00 4.346255678683519363e-03
6.573780546562855293e-03 1.963983535766601562e+00 4.305887501686811447e-03
6.686152781672570315e-03 1.961851239204406738e+00 4.300054628401994705e-03
6.798525016782285338e-03 1.945185303688049316e+00 4.261445254087448120e-03
6.910897251891999493e-03 1.946619153022766113e+00 4.237269517034292221e-03
7.023269487001714516e-03 1.940152168273925781e+00 4.215046297758817673e-03
7.135641722111429538e-03 1.924619197845458984e+00 4.182733129709959030e-03
7.248013957221143694e-03 1.945395827293395996e+00 4.069640301167964935e-03
7.360386192330858716e-03 1.951089143753051758e+00 3.910383209586143494e-03
7.472758427440573739e-03 1.923979043960571289e+00 3.794011659920215607e-03
7.585130662550287894e-03 1.904905557632446289e+00 3.692749887704849243e-03
7.697502897660002917e-03 1.891028881072998047e+00 3.623173572123050690e-03
7.809875132769717072e-03 1.889389038085937500e+00 3.560240147635340691e-03
