# b'S_22p5_45_M'
# q I errors
1.365323135847488351e-02 2.389133214950561523e+00 4.286053590476512909e-03
1.376560359358459593e-02 2.356148958206176758e+00 4.246953409165143967e-03
1.387797582869431182e-02 2.324685811996459961e+00 4.210221581161022186e-03
1.399034806380402771e-02 2.300700426101684570e+00 4.153726622462272644e-03
1.410272029891374013e-02 2.270081996917724609e+00 4.115432035177946091e-03
1.421509253402345602e-02 2.231104135513305664e+00 4.077225457876920700e-03
1.432746476913317191e-02 2.214174032211303711e+00 4.036980681121349335e-03
1.443983700424288433e-02 2.179275512695312500e+00 3.996314480900764465e-03
1.455220923935260022e-02 2.147972106933593750e+00 3.958063665777444839e-03
1.466458147446231611e-02 2.123475313186645508e+00 3.911618143320083618e-03
1.477695370957202853e-02 2.095810890197753906e+00 3.874341025948524475e-03
1.488932594468174442e-02 2.068644762039184570e+00 3.848104737699031830e-03
1.500169817979146031e-02 2.035901069641113281e+00 3.798242192715406418e-03
1.511407041490117273e-02 2.008323431015014648e+00 3.750391537323594093e-03
1.522644265001088862e-02 1.984352111816406250e+00 3.729337593540549278e-03
1.533881488512060451e-02 1.968261003494262695e+00 3.690726589411497116e-03
1.545118712023031693e-02 1.944246411323547363e+00 3.656578250229358673e-03
1.556355935534003282e-02 1.908496260643005371e+00 3.618892049416899681e-03
1.567593159044974871e-02 1.898692131042480469e+00 3.592111403122544289e-03
1.578830382555946113e-02 1.869760751724243164e+00 3.552174195647239685e-03
1.590067606066917702e-02 1.845541000366210938e+00 3.526634071022272110e-03
1.601304829577888944e-02 1.824344158172607422e+00 3.489358117803931236e-03
1.612542053088860533e-02 1.804894447326660156e+00 3.454922698438167572e-03
1.623779276599832122e-02 1.788301825523376465e+00 3.434935351833701134e-03
1.635016500110803711e-02 1.762264370918273926e+00 3.400114597752690315e-03
1.646253723621774953e-02 1.741141200065612793e+00 3.365356707945466042e-03
1.657490947132746542e-02 1.721742749214172363e+00 3.338702023029327393e-03
1.668728170643717784e-02 1.699584841728210449e+00 3.304766956716775894e-03
1.679965394154689373e-02 1.686633706092834473e+00 3.276975592598319054e-03
1.691202617665660962e-02 1.661774039268493652e+00 3.251364687457680702e-03
1.702439841176632551e-02 1.642854571342468262e+00 3.221570746973156929e-03
1.713677064687603793e-02 1.622699022293090820e+00 3.190200310200452805e-03
1.724914288198575382e-02 1.607249975204467773e+00 3.161306725814938545e-03
1.736151511709546624e-02 1.589587688446044922e+00 3.140114480629563332e-03
1.747388735220518213e-02 1.570138692855834961e+00 3.110134042799472809e-03
1.758625958731489802e-02 1.555981040000915527e+00 3.087158314883708954e-03
1.769863182242461391e-02 1.540509939193725586e+00 3.068074118345975876e-03
1.781100405753432633e-02 1.515128850936889648e+00 3.027647966518998146e-03
1.792337629264404222e-02 1.504661321640014648e+00 3.009692067280411720e-03
1.803574852775375464e-02 1.485555052757263184e+00 2.984448336064815521e-03
1.814812076286347053e-02 1.474726080894470215e+00 2.960973186418414116e-03
1.826049299797318642e-02 1.453425884246826172e+00 2.933172974735498428e-03
1.837286523308290231e-02 1.431904792785644531e+00 2.906835405156016350e-03
1.848523746819261473e-02 1.417690873146057129e+00 2.881064079701900482e-03
1.859760970330233062e-02 1.410364747047424316e+00 2.868188545107841492e-03
